Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,66.199997,66.500000,63.685001,64.849998,64.849998,21651500
2019-08-06,66.849998,67.400002,63.150002,64.599998,64.599998,14970800
2019-08-07,63.180000,65.260002,62.849998,65.000000,65.000000,9246500
2019-08-08,66.070000,66.570000,64.930000,66.269997,66.269997,9461900
2019-08-09,65.970001,66.120003,64.320000,65.010002,65.010002,7216900
2019-08-12,64.019997,64.237000,60.251999,62.299999,62.299999,8516800
2019-08-13,62.000000,63.500000,61.520000,63.000000,63.000000,11917600
2019-08-14,61.849998,62.349998,60.470001,61.549999,61.549999,8577900
2019-08-15,62.009998,62.680000,61.240002,62.000000,62.000000,7080300
2019-08-16,62.610001,63.209999,62.130001,62.869999,62.869999,5421400
2019-08-19,64.000000,64.432999,63.200001,64.080002,64.080002,6975800
2019-08-20,64.239998,65.105003,63.827999,64.370003,64.370003,7008600
2019-08-21,65.320000,66.139999,64.809998,65.410004,65.410004,5536400
2019-08-22,65.919998,65.970001,63.369999,64.680000,64.680000,4694400
2019-08-23,64.300003,65.050003,61.400002,61.779999,61.779999,9173800
2019-08-26,62.919998,63.520000,62.360001,62.799999,62.799999,5257600
2019-08-27,63.160000,63.430000,61.119999,61.750000,61.750000,5207100
2019-08-28,61.279999,62.219002,60.599998,62.150002,62.150002,4559600
2019-08-29,63.020000,63.410000,62.299999,62.840000,62.840000,4421800
2019-08-30,63.150002,63.459999,61.151001,61.840000,61.840000,5828500
2019-09-03,62.430000,63.980000,60.959999,61.130001,61.130001,12051700
2019-09-04,61.750000,62.689999,60.770000,61.169998,61.169998,6637100
2019-09-05,61.880001,63.470001,61.668999,63.020000,63.020000,8160400
2019-09-06,63.500000,63.849998,61.889999,62.000000,62.000000,4744100
2019-09-09,62.549999,62.730000,59.070000,61.470001,61.470001,11684400
2019-09-10,60.720001,62.099998,59.450001,60.549999,60.549999,9394000
2019-09-11,60.849998,60.849998,58.910000,59.200001,59.200001,11561400
2019-09-12,59.500000,59.860001,57.750000,57.790001,57.790001,15301200
2019-09-13,57.180000,58.849998,55.910000,58.290001,58.290001,11657500
2019-09-16,57.340000,59.630001,57.240002,59.250000,59.250000,12394000
2019-09-17,60.200001,60.700001,59.150002,59.599998,59.599998,9225100
2019-09-18,59.990002,60.419998,58.759998,59.750000,59.750000,8644200
2019-09-19,59.959999,60.180000,58.410000,59.029999,59.029999,7094000
2019-09-20,59.000000,59.139999,56.924999,57.849998,57.849998,9204200
2019-09-23,57.070000,57.450001,56.389999,56.759998,56.759998,8773800
