Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,15.700000,15.750000,14.180000,14.600000,14.600000,10188800
2019-08-06,14.700000,15.260000,14.450000,14.770000,14.770000,4507700
2019-08-07,15.310000,15.500000,14.340000,14.970000,14.970000,4709900
2019-08-08,14.950000,14.990000,14.300000,14.500000,14.500000,3024000
2019-08-09,14.650000,14.980000,14.570000,14.880000,14.880000,2135800
2019-08-12,14.490000,14.790000,14.200000,14.600000,14.600000,1990900
2019-08-13,14.210000,14.210000,13.230000,13.520000,13.520000,5157400
2019-08-14,13.440000,13.440000,12.040000,12.280000,12.280000,7490100
2019-08-15,12.250000,12.880000,12.150000,12.710000,12.710000,3494000
2019-08-16,12.700000,13.530000,12.500000,13.450000,13.450000,3253500
2019-08-19,14.000000,14.250000,13.680000,13.740000,13.740000,4559700
2019-08-20,13.760000,13.760000,13.300000,13.500000,13.500000,1519500
2019-08-21,12.740000,13.280000,12.480000,13.080000,13.080000,3894000
2019-08-22,13.030000,13.470000,12.910000,13.230000,13.230000,1667600
2019-08-23,13.250000,13.800000,13.250000,13.440000,13.440000,2188900
2019-08-26,13.400000,13.470000,13.000000,13.010000,13.010000,1735000
2019-08-27,12.990000,12.990000,12.570000,12.730000,12.730000,1875800
2019-08-28,12.670000,13.060000,11.720000,11.860000,11.860000,5716800
2019-08-29,11.530000,11.800000,11.510000,11.600000,11.600000,3569500
2019-08-30,11.630000,11.930000,11.630000,11.720000,11.720000,1357600
2019-09-03,12.860000,13.210000,12.760000,12.930000,12.930000,4592800
2019-09-04,12.800000,13.180000,12.510000,13.170000,13.170000,2540600
2019-09-05,13.080000,13.090000,12.750000,12.850000,12.850000,1481400
2019-09-06,13.200000,13.430000,12.520000,12.650000,12.650000,2865300
2019-09-09,12.600000,12.850000,12.070000,12.290000,12.290000,2360700
2019-09-10,12.280000,12.290000,11.900000,12.050000,12.050000,2133800
2019-09-11,12.050000,12.290000,11.920000,12.280000,12.280000,1684800
2019-09-12,12.600000,12.850000,12.530000,12.680000,12.680000,2103500
2019-09-13,12.730000,12.760000,12.310000,12.590000,12.590000,1485600
2019-09-16,12.450000,12.580000,12.160000,12.250000,12.250000,1375700
2019-09-17,12.390000,12.970000,12.280000,12.790000,12.790000,2249400
2019-09-18,12.690000,12.750000,12.440000,12.588000,12.588000,1224500
2019-09-19,12.250000,12.670000,12.100000,12.650000,12.650000,1785600
2019-09-20,12.810000,12.910000,12.700000,12.800000,12.800000,1496100
2019-09-23,12.350000,12.555000,12.160000,12.220000,12.220000,2472400
2019-09-24,12.080000,12.080000,10.550000,11.060000,11.060000,9381700
